FlightID,Airline,DepartureAirport,ArrivalAirport,DepartureDate,Distance,FlightDuration,Class,NumberOfStops,DaysUntilDeparture,DayOfWeek,TicketPrice
1,Delta,ORD,ORD,01-01-2024 00:00,3194,4.46,First,0,89,Monday,1478.37
2,Southwest,ATL,ATL,01-01-2024 01:00,544,4.95,First,0,211,Monday,1703.66
3,American,JFK,ATL,01-01-2024 02:00,1847,3.73,First,1,301,Monday,746.58
4,United,ATL,DFW,01-01-2024 03:00,2727,6.25,Economy,1,164,Monday,1665.9
5,JetBlue,ORD,ATL,01-01-2024 04:00,2721,1.23,First,2,217,Monday,1064.2
6,Delta,ATL,JFK,01-01-2024 05:00,4730,4.41,Business,2,320,Monday,1142.01
7,American,JFK,ATL,01-01-2024 06:00,4242,2.04,First,0,26,Monday,698.65
8,American,JFK,JFK,01-01-2024 07:00,4899,9.82,First,2,46,Monday,950.4
9,United,JFK,ORD,01-01-2024 08:00,2814,9.62,Economy,2,306,Monday,943.23
10,Southwest,DFW,ORD,01-01-2024 09:00,4631,5.26,Economy,1,255,Monday,1732.68
11,United,JFK,ORD,01-01-2024 10:00,427,9.8,Business,2,348,Monday,1818.64
12,Southwest,ATL,ORD,01-01-2024 11:00,4290,1.69,Economy,1,329,Monday,232.23
13,American,ORD,JFK,01-01-2024 12:00,3150,6.36,First,2,335,Monday,1228.04
14,Southwest,LAX,LAX,01-01-2024 13:00,3669,10.35,Economy,0,181,Monday,944.7
15,Delta,ORD,ATL,01-01-2024 14:00,3703,2.13,Economy,2,214,Monday,834.12
16,United,ORD,JFK,01-01-2024 15:00,2305,4.74,Economy,2,268,Monday,1425.8
17,United,LAX,LAX,01-01-2024 16:00,732,9.07,Economy,1,54,Monday,579.69
18,JetBlue,LAX,LAX,01-01-2024 17:00,2191,2.4,Business,1,313,Monday,1184.36
19,United,LAX,JFK,01-01-2024 18:00,4999,2.02,Business,0,182,Monday,1320.32
20,Delta,DFW,LAX,01-01-2024 19:00,844,9.16,Economy,1,139,Monday,1979.29
21,JetBlue,ATL,DFW,01-01-2024 20:00,3597,7.25,Economy,1,326,Monday,849.92
22,United,ATL,ORD,01-01-2024 21:00,1524,10.86,Business,2,25,Monday,325.01
23,United,ORD,LAX,01-01-2024 22:00,409,4.11,Economy,0,221,Monday,1797.84
24,Southwest,DFW,LAX,01-01-2024 23:00,1883,3.65,Economy,0,231,Monday,1125.42
25,American,JFK,LAX,02-01-2024 00:00,4626,10.94,First,2,264,Tuesday,1035.11
26,United,ATL,LAX,02-01-2024 01:00,437,4.16,First,2,149,Tuesday,1400.15
27,American,ORD,DFW,02-01-2024 02:00,3346,8.2,Business,1,213,Tuesday,1335.91
28,Southwest,LAX,DFW,02-01-2024 03:00,4530,2.57,Economy,2,83,Tuesday,916.5
29,Southwest,JFK,JFK,02-01-2024 04:00,3728,1.71,Economy,1,171,Tuesday,667
